normalized_name,status,start_date,end_date,mise_a_jour,date_dernier_rapport,normalized_molecule_name,atc_code,atc_class_code,atc_class_name,manufacturer
"FLECAINIDE 100 mg, comprimé sécable",Tension,2023-08-31,,2023-10-24,2024-05-07,Flécaïnide (acétate de),C01BC04,C,Système cardiovasculaire,0
"FLECAINIDE LP 50 mg, 100 mg, 150 mg et 200 mg gélule à libération prolongée",Tension,2023-06-01,,2023-10-23,2024-05-07,Flécaïnide (acétate de),C01BC04,C,Système cardiovasculaire,0
"FLIXOTIDE 125 microgrammes/dose, suspension pour inhalation en flacon pressurisé",Tension,2023-06-20,2023-12-29,2023-09-22,2023-12-05,Fluticasone (propionate de),R01AD08,R,Système respiratoire,GSK
"FLIXOTIDE 50 microgrammes/dose et 125 microgrammes/dose, suspension pour inhalation en flacon pressurisé",Tension,2022-12-22,,2022-12-22,2023-01-05,Fluticasone (propionate de),R01AD08,R,Système respiratoire,GSK
"FLIXOTIDE 50 microgrammes/dose, suspension pour inhalation en flacon pressurisé",Tension,2023-01-19,2023-05-31,2023-01-19,2023-05-01,Fluticasone (propionate de),R01AD08,R,Système respiratoire,GSK
"FLIXOTIDE Diskus 100 µg/dose 250µg/dose, poudre pour inhalation en récipient unidose",Tension,2023-01-19,,2023-01-19,2023-02-02,Fluticasone (propionate de),R01AD08,R,Système respiratoire,GSK
"FLIXOTIDE Diskus 100 µg/dose, poudre pour inhalation en récipient unidose",Tension,2023-02-20,2023-03-17,2023-02-20,2023-03-01,Fluticasone (propionate de),R01AD08,R,Système respiratoire,GSK
"FLUDARABINE Accord 25 mg/ml, solution à diluer pour solution injectable/pour perfusion",Rupture,2024-02-12,,2024-02-12,2024-05-07,Fludarabine,L01BB05,L,Antinéoplasiques et immunomodulateurs,Accord Healthcare
"FLUDARABINE Teva 25 mg/ml, solution à diluer pour solution injectable/pour perfusion",Rupture,2023-09-29,2023-10-13,2023-09-29,2023-10-04,Fludarabine,L01BB05,L,Antinéoplasiques et immunomodulateurs,Teva
"FLUDARABINE Teva 25 mg/ml, solution à diluer pour solution injectable/pour perfusion",Tension,2023-10-13,2024-01-11,2023-10-13,2023-12-05,Fludarabine,L01BB05,L,Antinéoplasiques et immunomodulateurs,Teva
"FLUMAZENIL 0,1 mg/ml, solution injectable, ampoule en verre de 5 ml et de 10 ml",Tension,2023-07-25,2023-11-06,2023-07-25,2023-11-10,Flumazénil,V03AB25,V,Divers,0
"FLUORESCÉINE Faure 0,5%, collyre en solution en récipient unidose",Tension,2024-02-23,,2024-02-23,2024-05-07,Fluorescéine sodique,S01JA01,S,Organes sensoriels,Faure
"FLUORESCEINE sodique Faure 10 pour cent, solution injectable",Tension,2022-11-18,2024-02-28,2023-11-29,2024-02-04,Fluorescéine sodique,S01JA01,S,Organes sensoriels,Faure
"FLUOROURACILE 50 mg/ml, solution à diluer pour perfusion, flacon de 100 ml",Tension,2023-06-13,,2023-06-13,2023-10-04,Fluorouracil,L01BC02,L,Antinéoplasiques et immunomodulateurs,0
"FLUOROURACILE Accord 50 mg/ml, solution à diluer pour perfusion, flacon de 100 ml",Tension,2023-10-06,,2023-10-06,2024-03-01,Fluorouracil,L01BC02,L,Antinéoplasiques et immunomodulateurs,Accord Healthcare
"FLUOROURACILE Accord 50 mg/ml, solution à diluer pour perfusion, flacon de 5 ml, de 20 ml et 100 ml",Tension,2024-03-15,,2024-03-15,2024-05-07,Fluorouracil,L01BC02,L,Antinéoplasiques et immunomodulateurs,Accord Healthcare
"FLUOROURACILE Pfizer 50 mg/ml, solution à diluer pour perfusion, flacon de 100 ml",Tension,2024-02-21,,2024-03-01,2024-04-23,Fluorouracil,L01BC02,L,Antinéoplasiques et immunomodulateurs,Pfizer
"FLUOROURACILE Teva 50 mg/ml, solution à diluer pour perfusion, flacon de 20 ml, et 100 ml",Tension,2024-02-28,,2024-02-28,2024-04-23,Fluorouracil,L01BC02,L,Antinéoplasiques et immunomodulateurs,Teva
"FLUTIFORM 125 microgrammes/5 microgrammes par dose, suspension pour inhalation en flacon pressurisé",Tension,2023-04-20,2023-05-23,2023-04-20,2023-05-01,"Fluticasone (propionate de), formotérol (fumarate de) dihydraté",R03AK10,R,Système respiratoire,0
"FOLINATE DE CALCIUM  10 mg/ml, solution injectable/pour perfusion ; 50 mg, 100 mg, 200 mg, 350 mg lyophilisat pour usage parentéral – Lévofolinate de calcium dont Elvorine 10 mg/ml, 25 mg/2,5ml, 50 mg/5ml, 100 mg/10ml, 175 mg/17,5ml solution injectable",Tension,2022-09-08,,2023-01-20,2024-05-07,Folinate de calcium,V03AF03,V,Divers,Accord Healthcare
"FOLINATE DE CALCIUM Ebewe 10 mg/ml, solution injectable/pour perfusion",Rupture,2024-01-04,2024-03-04,2024-01-04,2024-03-01,Folinate de calcium,V03AF03,V,Divers,0
"FOLINATE DE CALCIUM Ebewe 10 mg/ml, solution injectable/pour perfusion",Arret,2024-03-04,,2024-03-04,2024-04-23,Folinate de calcium,V03AF03,V,Divers,0
"FOMÉPIZOLE AP-HP 5 mg/mL, solution à diluer pour perfusion",Tension,2023-11-17,,2024-04-05,2024-04-23,Fomépizole (sulfate de),V03AB34,V,Divers,APHP
"FRAXIPARINE et Fraxodi Viatris, solution injectable en seringue pré-remplie",Rupture,2023-02-28,2023-05-23,2023-02-28,2023-05-01,Nadroparine calcique,B01AB06,B,Sang et organes hématopoïétiques,Viatris
"FROVATRIPTAN TEVA 2,5 mg, comprimé pelliculé",Tension,2021-05-04,2021-10-01,2021-05-04,2021-09-21,Frovatriptan,N02CC07,N,Système nerveux,Teva
"FUCITHALMIC 1%, gel ophtalmique",Tension,2024-03-27,,2024-03-27,2024-05-07,Acide fusidique,D06AX01,D,Produits dermatologiques,0
"FUNGIZONE 10%, suspension buvable",Tension,2022-11-29,2023-01-12,2022-11-29,2023-01-05,Amphotéricine B,J02AA01,J,Anti-infectieux à usage systémique,0
"FUNGIZONE 10%, suspension buvable",Tension,2023-03-03,2023-07-05,2023-03-03,2023-06-06,Amphotéricine B,J02AA01,J,Anti-infectieux à usage systémique,0
"FUNGIZONE 10%, suspension buvable",Rupture,2023-07-05,2023-07-27,2023-07-05,2023-07-22,Amphotéricine B,J02AA01,J,Anti-infectieux à usage systémique,0
"FUNGIZONE 10%, suspension buvable",Tension,2023-07-27,,2023-07-27,2024-05-07,Amphotéricine B,J02AA01,J,Anti-infectieux à usage systémique,0
"FUNGIZONE nourrissons et enfants 10%, suspension buvable",Rupture,2022-07-13,2023-01-26,2023-01-05,2023-01-05,Amphotéricine B,J02AA01,J,Anti-infectieux à usage systémique,0
"FUNGIZONE nourrissons et enfants 10%, suspension buvable",Tension,2023-07-05,,2023-07-05,2024-05-07,Amphotéricine B,J02AA01,J,Anti-infectieux à usage systémique,0
"FURADANTINE 50 mg, gélule",Tension,2023-06-19,2024-03-22,2023-12-15,2024-03-01,Nitrofurantoïne,J01XE01,J,Anti-infectieux à usage systémique,Sanofi
"FUROSEMIDE Teva 500 mg, comprimé sécable",Tension,2022-09-28,2022-11-24,2022-09-28,2022-11-19,Furosémide,C03CA01,C,Système cardiovasculaire,Teva
"GABAPENTINE 100 mg, 300 mg, 400 mg, 600 mg, 800 mg, comprimé pelliculé",Tension,2021-12-15,2022-03-09,2021-12-15,2022-02-07,Gabapentine,N03AX12,N,Système nerveux,Pfizer
"GABAPENTINE100 mg, 300 mg, 400 mg, gélule",Tension,2024-02-26,,2024-02-26,2024-05-07,Gabapentine,N03AX12,N,Système nerveux,0
"GAMMANORM 165 mg/ml, immunoglobuline humaine normale pour injection sous-cutanée",Tension,2021-09-03,2021-12-03,2021-09-03,2021-12-05,Immunoglobuline humaine normale,J06BA01,J,Anti-infectieux à usage systémique,Octapharma
"GAMMANORM 165 mg/ml, immunoglobuline humaine normale pour injection sous-cutanée",Arret,2021-12-17,,2021-12-03,2021-12-05,Immunoglobuline humaine normale,J06BA01,J,Anti-infectieux à usage systémique,Octapharma
"GARDENAL 100 mg, comprimé",Rupture,2021-09-10,2021-10-04,2021-10-04,2021-10-08,Phénobarbital sodique,N03AA02,N,Système nerveux,Sanofi
"GARDENAL 200 mg/4 ml, poudre et solvant pour solution injectable",Tension,2022-04-12,2022-06-28,2022-04-12,2022-05-01,Phénobarbital sodique,N03AA02,N,Système nerveux,Sanofi
"GARDENAL 200 mg/4 ml, poudre et solvant pour solution injectable",Rupture,2022-06-28,2022-10-25,2022-06-01,2022-10-06,Phénobarbital sodique,N03AA02,N,Système nerveux,Sanofi
"GARDENAL 40 mg/2 ml, poudre et solvant pour solution injectable",Tension,2022-05-24,2023-03-21,2022-05-24,2023-03-01,Phénobarbital sodique,N03AA02,N,Système nerveux,Sanofi
"GARDENAL 50 mg, comprimé, boîte de 30 comprimés",Rupture,2021-07-26,2022-01-10,2021-07-26,2021-12-05,Phénobarbital sodique,N03AA02,N,Système nerveux,Sanofi
"GASTROGRAFINE 370 mg d'iode/mL, solution buvable ou rectale",Tension,2023-06-02,,2024-03-20,2024-05-07,"Amidotrizoate de sodium, méglumine (amidotrizoate de)",V08AA01,V,Divers,0
"GELTIM LP 1 mg/g, gel ophtalmique en récipient unidose (boite de 30 récipients unidose) ",Rupture,2023-07-25,2023-10-02,2023-07-25,2023-09-27,Timolol,S01ED01,S,Organes sensoriels,0
"GEMCITABINE Sun 10 mg/ml, solution pour perfusion, poche de 200 ml",Rupture,2023-05-23,2023-07-28,2023-07-03,2023-07-22,Gemcitabine (chlorhydrate de),L01BC05,L,Antinéoplasiques et immunomodulateurs,Sun Pharma
"GENOTONORM 12 mg, poudre et solvant pour solution injectable boite de 1 et 5 cartouches dans stylo pré-rempli GoQuick",Tension,2024-04-08,,2024-04-08,2024-05-07,Somatropine,H01AC01,H,Hormones systémiques sauf hormones sexuelles et insulines,Pfizer
GENOTONORM Miniquick poudre et solvant pour solution injectable,Tension,2023-12-19,,2023-12-19,2024-05-07,Somatropine,H01AC01,H,Hormones systémiques sauf hormones sexuelles et insulines,Pfizer
"GILENYA 0,25 mg, gélule ",Tension,2022-03-28,2022-04-11,2022-03-28,2022-04-05,Fingolimod (chlorhydrate de),L04AA27,L,Antinéoplasiques et immunomodulateurs,Novartis
"GLUCAGEN 1 mg/ml, poudre et solvant pour solution injectable",Tension,2022-06-10,2022-07-25,2022-06-10,2022-06-28,Glucagon,H04AA01,H,Hormones systémiques sauf hormones sexuelles et insulines,Novo Nordisk
"GLUCAGEN 1 mg/ml, poudre et solvant pour solution injectable",Rupture,2022-07-25,2022-11-15,2022-07-25,2022-10-06,Glucagon,H04AA01,H,Hormones systémiques sauf hormones sexuelles et insulines,Novo Nordisk
"GLUCAGEN 1 mg/ml, poudre et solvant pour solution injectable",Tension,2023-05-23,2023-10-03,2023-05-23,2023-09-27,Glucagon,H04AA01,H,Hormones systémiques sauf hormones sexuelles et insulines,Novo Nordisk
"GLUCAGEN 1 mg/ml, poudre et solvant pour solution injectable",Arret,2023-10-03,,2023-10-03,2023-10-04,Glucagon,H04AA01,H,Hormones systémiques sauf hormones sexuelles et insulines,Novo Nordisk
"GLUCAGEN Kit 1 mg/ml, poudre et solvant pour solution injectable",Tension,2022-12-08,2024-03-04,2023-05-23,2024-03-01,Glucagon,H04AA01,H,Hormones systémiques sauf hormones sexuelles et insulines,Novo Nordisk
"GLUCANTIME 1,5 g/5 ml, solution injectable",Rupture,2024-04-19,,2024-04-19,2024-04-23,Méglumine (antimoniate de),P01CB02,P,"Antiparasitaires, insecticides et répulsifs",0
"GLUCOSE 30% Lavoisier, solution injectable en ampoule de 10 ml",Rupture,2021-11-30,,2021-11-30,2023-10-04,Glucose monohydraté,A10BD (en combinaison avec d'autres médicaments) ,A,Voies digestives et métabolisme,Lavoisier
"GLUCOSE 30% Lavoisier, solution injectable en ampoule de 20 ml",Rupture,2023-09-06,2023-10-17,2023-10-17,2023-10-04,Glucose monohydraté,A10BD (en combinaison avec d'autres médicaments) ,A,Voies digestives et métabolisme,Lavoisier
"GLUCOSE 30% Lavoisier, solution pour perfusion en flacon",Rupture,2024-03-20,,2024-03-20,2024-04-23,Glucose monohydraté,A10BD (en combinaison avec d'autres médicaments) ,A,Voies digestives et métabolisme,Lavoisier
GLUTARALDÉHYDE et tampon AP-HP pour tannage de péricarde solution stérile,Tension,2023-08-24,2023-09-18,2023-08-24,2023-09-27,Solution aqueuse de glutaraldéhyde à 250 mg/mL,D08AX08,D,Produits dermatologiques,0
"GONAPEPTYL 3,75 mg, poudre et solvant pour suspension injectable à libération prolongée en seringues pré-remplies",Rupture,2023-03-28,2023-06-19,2023-04-28,2023-04-19,Triptoréline (acétate de),L02AE04,L,Antinéoplasiques et immunomodulateurs,0
"GRANUPAS 4 g, granulés gastro-résistants",Rupture,2023-08-16,,2023-08-16,2024-05-07,Aminosalicylique (acide),A07EC01,A,Voies digestives et métabolisme,0
"HEPARINE Calcique 25 000 UI/mL, solution injectable en seringue pré-remplie (S.C.) de 0,2 ml et de 0,3 ml et en ampoule de 0,5 ml",Tension,2023-01-27,,2023-01-27,2023-02-02,Héparine calcique,B01AB01,B,Sang et organes hématopoïétiques,0
HEPARINE Choay 25 000 UI/5 ml  solution injectable,Rupture,2021-02-23,2021-05-26,2021-02-23,2021-05-17,Héparine sodique,B01AB01,B,Sang et organes hématopoïétiques,Cheplapharm
HEPARINE Choay 25 000 UI/5 ml  solution injectable,Tension,2021-05-26,2021-10-01,2021-05-26,2021-09-21,Héparine sodique,B01AB01,B,Sang et organes hématopoïétiques,Cheplapharm
HEPARINE Choay 25 000 UI/5 ml  solution injectable,Rupture,2023-01-27,2023-08-29,2023-01-27,2023-08-01,Héparine sodique,B01AB01,B,Sang et organes hématopoïétiques,Cheplapharm
"HEPARINE Sodique Panpharma 5000 UI/ml, en flacon de 5mL solution injectable",Tension,2023-02-08,,2023-02-08,2024-05-07,Héparine sodique,B01AB01,B,Sang et organes hématopoïétiques,0
HEPATATE poudre pour solution injectable . Trousse pour la préparation radiopharmaceutique,Tension,2020-01-16,,2021-04-26,2023-11-10,N/A,V09XA,V,Divers,CIS bio international
"HEXATRIONE 2 pour cent, suspension injectable (intra-articulaire)",Tension,2022-12-15,2023-02-24,2022-12-15,2023-02-02,Triamcinolone,H02AB08,H,Hormones systémiques sauf hormones sexuelles et insulines,Sanofi
"HEXATRIONE 2 pour cent, suspension injectable (intra-articulaire)",Tension,2023-07-28,,2024-02-09,2024-05-07,Triamcinolone,H02AB08,H,Hormones systémiques sauf hormones sexuelles et insulines,Sanofi
"HUMALOG 100 UI/ml, solution injectable en flacon",Tension,2024-03-20,,,2024-05-07,Insuline lispro,A10AB04,A,Voies digestives et métabolisme,0
"HYCAMTIN 0,25mg, gélule",Rupture,2021-04-02,,2021-04-19,2023-03-01,Topotécane (chlorhydrate de),L01XX17,L,Antinéoplasiques et immunomodulateurs,Sandoz
"HYCAMTIN 0.25 mg et 1 mg,  gélule",Rupture,2023-05-16,,2023-12-11,2024-05-07,Topotécane (chlorhydrate de),L01XX17,L,Antinéoplasiques et immunomodulateurs,Sandoz
"HYCAMTIN 1 mg, gélule",Tension,2022-12-12,2023-02-10,2022-12-12,2023-02-02,Topotécane (chlorhydrate de),L01XX17,L,Antinéoplasiques et immunomodulateurs,Sandoz
"HYCAMTIN 1 mg, gélule",Rupture,2023-02-10,,2023-03-28,2023-05-01,Topotécane (chlorhydrate de),L01XX17,L,Antinéoplasiques et immunomodulateurs,Sandoz
"HYDREA 500 mg, gélule",Tension,2023-04-28,2023-05-23,2023-04-28,2023-05-01,Hydroxycarbamide,L01XX05,L,Antinéoplasiques et immunomodulateurs,Cheplapharm
"HYDREA 500 mg, gélule",Tension,2023-09-21,2023-11-07,2023-09-21,2023-11-10,Hydroxycarbamide,L01XX05,L,Antinéoplasiques et immunomodulateurs,Cheplapharm
"HYDROCHLOROTHIAZIDE Arrow 25 mg ET 12,5 mg, comprimé sécable",Tension,2022-12-01,2024-02-23,2022-12-01,2024-02-04,Hydrochlorothiazide,C03AA03,C,Système cardiovasculaire,Arrow
"HYDROCORTANCYL 2,5 pour cent, suspension injectable",Tension,2022-08-19,2023-11-09,2023-07-19,2023-11-10,Prednisolone (acétate de),H02AB06,H,Hormones systémiques sauf hormones sexuelles et insulines,Cheplapharm
"HYDROCORTANCYL 2,5 pour cent, suspension injectable",Rupture,2023-11-09,2024-01-09,2023-11-09,2023-12-05,Prednisolone (acétate de),H02AB06,H,Hormones systémiques sauf hormones sexuelles et insulines,Cheplapharm
"HYDROCORTANCYL 2,5 pour cent, suspension injectable",Tension,2024-01-09,,2024-01-09,2024-05-07,Prednisolone (acétate de),H02AB06,H,Hormones systémiques sauf hormones sexuelles et insulines,Cheplapharm
"HYDROCORTISONE Roussel 10 mg, comprimé sécable",Tension,2023-05-24,,2023-05-24,2023-09-27,Hydrocortisone,H02AB09,H,Hormones systémiques sauf hormones sexuelles et insulines,Roussel
"HYDROCORTISONE Upjohn 100 mg, préparation injectable",Tension,2023-10-20,,,2024-05-07,Hydrocortisone (hydrogénosuccinate sodique d'),H02AB09,H,Hormones systémiques sauf hormones sexuelles et insulines,Upjohn
"HYDROCORTISONE Upjohn 500 mg, préparation injectable",Tension,2023-10-20,,,2024-05-07,Hydrocortisone (hydrogénosuccinate sodique d'),H02AB09,H,Hormones systémiques sauf hormones sexuelles et insulines,Upjohn
"ICAZ LP 2,5 mg et 5 mg, gélule à libération prolongée",Tension,2023-01-20,,2023-01-20,2023-12-05,Isradipine,C08CA03,C,Système cardiovasculaire,0
"ILUVIEN 190 microgrammes, implant intravitréen avec applicateur",Tension,2022-11-03,2022-12-27,2022-11-03,2022-11-19,Acétonide de fluocinolone,S01BA15,S,Organes sensoriels,Alimera
"ILUVIEN 190 microgrammes, implant intravitréen avec applicateur",Tension,2023-01-18,2023-02-23,2023-01-18,2023-02-02,Acétonide de fluocinolone,S01BA15,S,Organes sensoriels,Alimera
"ILUVIEN 190 microgrammes, implant intravitréen avec applicateur",Tension,2023-04-05,2024-01-17,2023-11-24,2023-12-05,Acétonide de fluocinolone,S01BA15,S,Organes sensoriels,Alimera
"IMETH 2,5 mg comprimé",Rupture,2021-08-25,2021-10-14,2021-08-25,2021-10-08,Méthotrexate,L01BA01,L,Antinéoplasiques et immunomodulateurs,Nordic Pharma
"IMMUNOGLOBULINE humaine normale IV (à base de) –  Ig Vena 50mg/ml, solution pour perfusion IV-  INTRATECT 50mg/ml et 100mg/ml, solution pour perfusion IV",Tension,2021-04-02,,2021-06-04,2022-06-28,Immunoglobuline humaine normale (IgG),J06BA02,J,Anti-infectieux à usage systémique,0
"IMMUNOGLOBULINE humaine normale IV (à base de) –  Ig Vena 50mg/ml, solution pour perfusion IV-  INTRATECT 50mg/ml et 100mg/ml, solution pour perfusion IV- HUMAGLOBIN Liquid 50g/L, solution pour perfusion IV ",Tension,2022-07-20,,2022-07-20,2023-12-05,Immunoglobuline humaine normale (IgG),J06BA02,J,Anti-infectieux à usage systémique,0
IMMUNOGLOBULINE humaine normale IV et SC (à base de) ,Tension,2024-01-24,,2024-04-11,2024-05-07,Immunoglobuline humaine normale (IgG),J06BA02,J,Anti-infectieux à usage systémique,0
"IMNOVID 1 mg, gélule ",Rupture,2022-09-15,2022-10-26,2022-09-15,2022-10-06,Pomalidomide,L04AX06,L,Antinéoplasiques et immunomodulateurs,BMS
"INFRACYANINE 25 mg/10 ml, poudre et solvant pour solution injectable",Tension,2021-08-12,2023-05-15,2021-08-12,2023-05-01,Indocyanine verte,V04CX01,V,Divers,SERB
"INTEGRILIN 0,75 mg/ml, solution injectable",Rupture,2023-09-15,2023-11-24,2023-09-15,2023-11-10,Eptifibatide,B01AC16,B,Sang et organes hématopoïétiques,0
"INTEGRILIN 2 mg/ml, solution injectable",Tension,2023-07-07,2023-08-07,2023-07-28,2023-08-01,Eptifibatide,B01AC16,B,Sang et organes hématopoïétiques,GSK
"INTEGRILIN 2 mg/ml, solution injectable",Rupture,2023-08-07,2023-11-24,2023-09-15,2023-09-27,Eptifibatide,B01AC16,B,Sang et organes hématopoïétiques,GSK
"IODURE (131I) de sodium pour therapie curiumpharma, gélule",Rupture,2022-01-19,2022-02-02,2022-01-19,2022-01-24,Iodure (131I) de sodium,V10XA01,V,Divers,Curium
"IODURE (131I) de sodium pour therapie curiumpharma, gélule",Tension,2022-02-02,2022-08-03,2022-02-02,2022-08-02,Iodure (131I) de sodium,V10XA01,V,Divers,Curium
"IODURE (131I) de sodium pour therapie curiumpharma, gélule",Rupture,2022-08-03,2023-05-24,2022-12-01,2023-05-01,Iodure (131I) de sodium,V10XA01,V,Divers,Curium
"IOMERON 150, 250, 300, 350 et 400 mg Iode/mL, solution injectable en 100-150-200-250 et 500 mL",Tension,2024-04-22,,2024-04-22,2024-04-23,Ioméprol,V08AB10,V,Divers,0
"IOMERON 250 (250 mg Iode/mL), solution injectable",Rupture,2023-02-16,2023-09-01,2023-02-16,2023-08-01,Ioméprol,V08AB10,V,Divers,Bracco Imaging
"IOMERON 300 (300 mg Iode/mL), solution injectable, flacon en verre de 20 ml ",Rupture,2023-07-18,,2023-07-18,2024-05-07,Ioméprol,V08AB10,V,Divers,Bracco Imaging
"IOMERON 400 (400 mg Iode/mL) & Iomeron 350 (350 mg Iode/mL), solution injectable 150mL – Trousse Angiomat-Optivantage",Rupture,2022-10-20,,2022-10-20,2023-02-02,Ioméprol,V08AB10,V,Divers,Bracco Imaging
"IOMERON 400 (400 mg Iode/mL), solution injectable - Flacon de 150 mL",Tension,2024-01-24,,2024-01-24,2024-03-01,Ioméprol,V08AB10,V,Divers,Bracco Imaging
"IOMERON 400 (400 mg Iode/mL), solution injectable - Flacon de 50 mL, 100 mL, 150 mL et 200 mL",Rupture,2023-09-01,,2023-09-01,2023-12-05,Ioméprol,V08AB10,V,Divers,Bracco Imaging
"IOMERON 400 (400 mg Iode/mL), solution injectable Flacon de 150 mL – trousse pour injecteur CT-Exprès",Tension,2023-02-16,,2023-09-01,2023-12-05,Ioméprol,V08AB10,V,Divers,0
"IPRATROPIUM Teva 0,5 mg/2 ml adultes, solution pour inhalation par nébuliseur en récipient unidose",Rupture,2024-03-12,,2024-03-12,2024-05-07,Ipratropium (bromure d'),R03BB01,R,Système respiratoire,Teva
"IRINOTECAN Sun 1,5 mg/ml, solution pour perfusion, poche de 180 mL",Rupture,2023-08-28,2023-11-27,2023-08-28,2023-11-10,Irinotécan (chlorhydrate d') trihydraté,L01CE02,L,Antinéoplasiques et immunomodulateurs,Sun Pharma
"IRINOTECAN Sun 1,5 mg/ml, solution pour perfusion, poche de 200 mL",Rupture,2023-03-15,2023-11-27,2023-08-28,2023-11-10,Irinotécan (chlorhydrate d') trihydraté,L01CE02,L,Antinéoplasiques et immunomodulateurs,Sun Pharma
"IRINOTECAN Sun 1,5 mg/ml, solution pour perfusion, poche de 220 mL",Rupture,2023-05-17,2024-01-09,2023-09-18,2023-12-05,Irinotécan (chlorhydrate d') trihydraté,L01CE02,L,Antinéoplasiques et immunomodulateurs,Sun Pharma
"ISENTRESS 100 mg, granulés pour suspension buvable",Tension,2021-06-04,2021-11-23,2021-08-12,2021-11-10,Raltégravir,J05AX08,J,Anti-infectieux à usage systémique,MSD
"JAVLOR 25 mg/ml, solution à diluer pour perfusion",Rupture,2021-11-30,2022-10-20,2022-09-05,2022-10-06,Vinflunine,L01CA05,L,Antinéoplasiques et immunomodulateurs,Pierre Fabre
"JEXT 300 microgrammes, solution injectable en stylo prérempli",Tension,2023-05-18,2023-10-03,2023-05-18,2023-09-27,Adrénaline,C01CA24,C,Système cardiovasculaire,Alk Abello
"JEXT 300 microgrammes, solution injectable en stylo prérempli",Rupture,2023-10-03,,2023-10-03,2023-10-04,Adrénaline,C01CA24,C,Système cardiovasculaire,Alk Abello
"KANOKAD 25 UI/mL de facteur IX, poudre et solvant pour solution injectable - Flacon de 250 UI (10 ml) et de 500 UI (20 ml)",Rupture,2023-11-27,,2023-11-27,2024-05-07,Facteurs de coagulation,B02BD01,B,Sang et organes hématopoïétiques,LFB
"KARDEGIC 160 mg, poudre pour solution buvable en sachet",Tension,2021-08-04,2022-07-28,2021-08-04,2022-06-28,DL-lysine (acétylsalicylate de),N02BA01,N,Système nerveux,Sanofi
"KARDEGIC 500 mg/5 ml, poudre pour solution injectable",Tension,2021-12-27,,2023-06-23,2024-03-01,DL-lysine (acétylsalicylate de),N02BA01,N,Système nerveux,Sanofi
"KARDEGIC 75 mg, poudre pour solution buvable en sachet-dose",Tension,2022-03-16,2023-03-10,2022-03-16,2023-03-01,DL-lysine (acétylsalicylate de),N02BA01,N,Système nerveux,Sanofi
"KAYEXALATE, poudre pour suspension orale et rectale",Tension,2023-05-17,,2023-05-17,2024-05-07,Sodium (polystyrène sulfonate de),V03AE01,V,Divers,0
"KETAMINE Panpharma 250 mg/5 ml, solution injectable (I.V.-I.M.)",Rupture,2022-05-23,2022-12-09,2022-05-23,2022-11-19,Kétamine (chlorhydrate de),N01AX03,N,Système nerveux,Panpharma
"KETAMINE Panpharma 50 mg/5 ml, solution injectable (I.V.-I.M.)",Rupture,2022-07-25,2022-12-09,2022-07-25,2022-11-19,Kétamine (chlorhydrate de),N01AX03,N,Système nerveux,Panpharma
"KEVZARA 150 mg, solution injectable en seringue préremplie et solution injectable en stylo prérempli",Rupture,2021-11-10,,2021-11-10,2021-11-10,Sarilumab,L04AC14,L,Antinéoplasiques et immunomodulateurs,Sanofi
"KEVZARA 200 mg, solution injectable en stylo prérempli",Rupture,2022-04-28,,2022-04-28,2022-05-01,Sarilumab,L04AC14,L,Antinéoplasiques et immunomodulateurs,Sanofi
"KEVZARA 200 mg, solution injectable en stylo prérempli",Tension,2022-06-10,2022-07-12,2022-06-10,2022-06-28,Sarilumab,L04AC14,L,Antinéoplasiques et immunomodulateurs,Sanofi
"KRENOSIN 6 mg/2 ml, solution injectable",Tension,2023-03-24,2023-09-15,2023-03-24,2023-09-27,Adénosine,C01EB10,C,Système cardiovasculaire,0
"KYTRIL 1 mg, comprimé pelliculé ",Tension,2023-06-27,2023-10-03,2023-06-27,2023-09-27,Granisétron (chlorhydrate de),A04AA02,A,Voies digestives et métabolisme,0
"L-THYROXINE Serb 200 microgrammes/mL, solution injectable/pour perfusion",Tension,2023-02-07,2023-08-23,2023-02-07,2023-08-01,Lévothyroxine sodique,H03AA01,H,Hormones systémiques sauf hormones sexuelles et insulines,0
"LACTATE DE SODIUM AP-HP 11,2 % (m/V) solution pour perfusion",Tension,2023-01-20,,2023-01-20,2023-03-01,Solutions électrolytiques,B05XA (solutions électrolytiques),B,Sang et organes hématopoïétiques,AP-HP
"LACTATE DE SODIUM AP-HP 11,2 % (m/V) solution pour perfusion",Rupture,2023-11-23,,2024-02-21,2024-05-07,Solutions électrolytiques,B05XA (solutions électrolytiques),B,Sang et organes hématopoïétiques,AP-HP
"LAMOTRIGINE 100 mg, comprimé dispersible ou à croquer",Tension,2023-06-27,,2023-10-30,2024-03-01,Lamotrigine,N03AX09,N,Système nerveux,Tous
"LAMOTRIGINE 200 mg, comprimé dispersible ou à croquer",Rupture,2023-06-27,,2023-10-30,2024-03-01,Lamotrigine,N03AX09,N,Système nerveux,Tous
"LAMOTRIGINE 5 mg, 25 mg, 50 mg 100 mg et 200 mg, comprimé dispersible ou à croquer",Tension,2024-03-05,,2024-03-05,2024-05-07,Lamotrigine,N03AX09,N,Système nerveux,Tous
"LARGACTIL 100 mg, comprimé pelliculé sécable",Tension,2023-12-22,,2024-03-26,2024-05-07,Chlorpromazine,N05AA01,N,Système nerveux,Neuraxpharm
"LARGACTIL 25 mg, comprimé pelliculé",Tension,2023-12-26,,2024-03-26,2024-05-07,Chlorpromazine,N05AA01,N,Système nerveux,Neuraxpharm
